"geoname","statepostal","fips","seriesid","purpose","year","quarter","value"
"Denton County","TX","48121","MEDIAN","Purchase",2022,1,460000
"Denton County","TX","48121","MEDIAN","Refinance",2022,1,455000
"Denton County","TX","48121","MEDIAN","Both",2022,1,459000
"Denton County","TX","48121","MEDIAN","Purchase",2022,2,505500
"Denton County","TX","48121","MEDIAN","Refinance",2022,2,465000
"Denton County","TX","48121","MEDIAN","Both",2022,2,500000
"Denton County","TX","48121","MEDIAN","Purchase",2022,3,515000
"Denton County","TX","48121","MEDIAN","Refinance",2022,3,490000
"Denton County","TX","48121","MEDIAN","Both",2022,3,507000
"Denton County","TX","48121","MEDIAN","Purchase",2022,4,530000
"Denton County","TX","48121","MEDIAN","Refinance",2022,4,458000
"Denton County","TX","48121","MEDIAN","Both",2022,4,523000
"Denton County","TX","48121","P25","Purchase",2017,4,261000
"Denton County","TX","48121","P25","Refinance",2017,4,233000
"Denton County","TX","48121","P25","Both",2017,4,250000
"Denton County","TX","48121","P25","Purchase",2018,5,265000
"Denton County","TX","48121","P25","Refinance",2018,5,236000
"Denton County","TX","48121","P25","Both",2018,5,255000
"Denton County","TX","48121","P25","Purchase",2018,1,262000
"Denton County","TX","48121","P25","Refinance",2018,1,230000
"Denton County","TX","48121","P25","Both",2018,1,250000
"Denton County","TX","48121","P25","Purchase",2018,2,265000
"Denton County","TX","48121","P25","Refinance",2018,2,236000
"Denton County","TX","48121","P25","Both",2018,2,257000
"Denton County","TX","48121","P25","Purchase",2018,3,265000
"Denton County","TX","48121","P25","Refinance",2018,3,240000
"Denton County","TX","48121","P25","Both",2018,3,255000
"Denton County","TX","48121","P25","Purchase",2018,4,264600
"Denton County","TX","48121","P25","Refinance",2018,4,238000
"Denton County","TX","48121","P25","Both",2018,4,255000
"Denton County","TX","48121","P25","Purchase",2019,5,270000
"Denton County","TX","48121","P25","Refinance",2019,5,261500
"Denton County","TX","48121","P25","Both",2019,5,266000
"Denton County","TX","48121","P25","Purchase",2019,1,269000
"Denton County","TX","48121","P25","Refinance",2019,1,240000
"Denton County","TX","48121","P25","Both",2019,1,258500
"Denton County","TX","48121","P25","Purchase",2019,2,270000
"Denton County","TX","48121","P25","Refinance",2019,2,255000
"Denton County","TX","48121","P25","Both",2019,2,265000
"Denton County","TX","48121","P25","Purchase",2019,3,270000
"Denton County","TX","48121","P25","Refinance",2019,3,270000
"Denton County","TX","48121","P25","Both",2019,3,270000
"Denton County","TX","48121","P25","Purchase",2019,4,270000
"Denton County","TX","48121","P25","Refinance",2019,4,268000
"Denton County","TX","48121","P25","Both",2019,4,269000
"Denton County","TX","48121","P25","Purchase",2020,5,280000
"Denton County","TX","48121","P25","Refinance",2020,5,287000
"Denton County","TX","48121","P25","Both",2020,5,284000
"Denton County","TX","48121","P25","Purchase",2020,1,270000
"Denton County","TX","48121","P25","Refinance",2020,1,280000
"Denton County","TX","48121","P25","Both",2020,1,275000
"Denton County","TX","48121","P25","Purchase",2020,2,277000
"Denton County","TX","48121","P25","Refinance",2020,2,290000
"Denton County","TX","48121","P25","Both",2020,2,283500
"Denton County","TX","48121","P25","Purchase",2020,3,281900
